1,0
2,0
3,3
4,21
5,49
6,91
7,104
8,181
9,179
10,281
11,242
12,267
13,237
14,228
15,280
16,218
17,169
18,171
19,141
20,149
21,80
22,80
23,77
24,77
25,67
26,35
27,35
28,35
29,34
30,34
31,7
32,7
33,7
34,7
35,7
36,6
37,6
38,6
39,5
40,5
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
