1,0
2,1
3,5
4,12
5,21
6,44
7,54
8,91
9,91
10,164
11,141
12,150
13,131
14,131
15,163
16,132
17,112
18,118
19,107
20,119
21,62
22,62
23,59
24,59
25,61
26,35
27,35
28,35
29,35
30,36
31,10
32,10
33,10
34,10
35,10
36,8
37,7
38,7
39,7
40,9
41,4
42,4
43,4
44,4
45,4
46,2
47,2
48,2
49,2
50,2
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
